id,Cluster,ST,Year,Country,Site
ERR6349919,1,ST2004,2016,Zambia,Blood
ERR6349920,1,ST2004,2016,Zambia,Blood
ERR6349933,1,ST2004,2016,Zambia,Blood
ERR6350138,1,ST2004,2016,Zambia,Blood
ERR6350139,1,ST2004,2016,Zambia,Blood
ERR6350153,1,ST2004,2016,Zambia,Blood
ERR6350154,1,ST2004,2016,Zambia,Blood
ERR6350201,1,ST2004,2016,Zambia,Blood
ERR6350202,1,ST2004,2016,Zambia,Blood
ERR6350215,1,ST2004,2016,Zambia,Blood
ERR6350216,1,ST2004,2016,Zambia,Blood
ERR6350767,1,ST2004,2016,Zambia,Blood
ERR6350780,1,ST2004,2016,Zambia,Blood
ERR6350792,1,ST2004,2016,Zambia,Blood
ERR6350811,1,ST2004,2016,Zambia,Blood
ERR6350827,1,ST2004,2016,Zambia,Blood
ERR6350858,1,ST2004,2016,Zambia,Blood
ERR6350866,1,ST2004,2016,Zambia,Blood
ERR6350878,1,ST2004,2016,Zambia,Blood
ERR6350887,1,ST2004,2016,Zambia,Blood
ERR6350911,1,ST2004,2016,Zambia,Blood
ERR6351004,1,ST2004,2016,Zambia,Blood
ERR6351005,1,ST2004,2016,Zambia,Blood
ERR6351018,1,ST2004,2016,Zambia,Blood
ERR6351019,1,ST2004,2016,Zambia,Blood
ERR15165552,1,ST2004,2016,Zambia,Blood
ERR15165556,1,ST2004,2016,Zambia,Blood
ERR15165560,1,ST2004,2016,Zambia,Blood
ERR15165562,1,ST2004,2016,Zambia,Blood
ERR15165566,1,ST2004,2016,Zambia,Blood
ERR15165571,1,ST2004,2016,Zambia,Blood
ERR6350826,1,ST2004,2016,Zambia,Blood
ERR6350899,1,ST2004,2016,Zambia,Blood
ERR6350910,1,ST2004,2016,Zambia,Blood
ERR6350931,1,ST2004,2016,Zambia,Blood
ERR15165575,1,ST2004,2016,Zambia,Blood
ERR15165581,1,ST2004,2016,Zambia,Blood
ERR15165583,1,ST2004,2016,Zambia,Blood
ERR6350788,2,ST2004,2015,Zambia,Blood
ERR6350790,2,ST2004,2015,Zambia,Blood
ERR6350822,2,ST2004,2015,Zambia,Blood
ERR6350823,2,ST2004,2015,Zambia,Blood
ERR6350824,2,ST2004,2015,Zambia,Blood
ERR6350836,2,ST2004,2015,Zambia,Blood
ERR6350838,2,ST2004,2015,Zambia,Blood
ERR6350847,2,ST2004,2015,Zambia,Blood
ERR15165563,1,ST2004,2016,Zambia,Blood
