# tblastx
# Iteration: 0
# Query: KL102 all_bases
# RID: FFX3SARU114
# Database: n/a
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives, query/sbjct frames
# 1 hits found
KL102	KL102	96.896	1192	37	0	7408	3833	7409	3834	0.0	2671	98.24	-2/-3
KL102	KL102	98.515	1212	18	0	19281	15646	19943	16308	0.0	2611	99.09	-3/-3
KL102	KL102	99.392	1152	7	0	12750	16205	13412	16867	0.0	2553	99.57	3/2
KL102	KL102	99.710	1034	3	0	3986	7087	3987	7088	0.0	2256	99.81	2/3
KL102	KL102	96.224	980	37	0	2599	5538	2600	5539	0.0	2207	97.14	1/2
KL102	KL102	99.278	969	7	0	5418	8324	5419	8325	0.0	2175	99.69	3/1
KL102	KL102	99.478	958	5	0	11948	14821	12610	15483	0.0	2155	99.69	2/1
KL102	KL102	99.564	917	4	0	16858	19608	17520	20270	0.0	2128	99.56	1/3
KL102	KL102	99.767	859	2	0	5575	8151	5576	8152	0.0	1934	99.88	1/2
KL102	KL102	99.281	835	6	0	9305	6801	9306	6802	0.0	1838	99.88	-1/-2
KL102	KL102	99.295	709	5	0	13393	11267	14055	11929	0.0	1473	99.44	-2/-2
KL102	KL102	95.345	666	31	0	18230	20227	18892	20889	0.0	1438	97.15	2/1
KL102	KL102	99.087	657	6	0	10719	12689	11381	13351	0.0	1403	99.24	3/2
KL102	KL102	99.701	670	2	0	15098	13089	15760	13751	0.0	1377	99.85	-1/-1
KL102	KL102	99.688	642	2	0	12841	14766	13503	15428	0.0	1357	99.69	1/3
KL102	KL102	98.459	519	8	0	2466	910	2467	911	0.0	1195	99.04	-3/-1
KL102	KL102	99.216	510	4	0	3158	1629	3159	1630	0.0	1178	99.41	-1/-2
KL102	KL102	95.594	522	23	0	19627	18062	20289	18724	0.0	1166	96.74	-2/-2
KL102	KL102	93.297	552	37	0	5717	4062	5718	4063	0.0	1158	94.38	-1/-2
KL102	KL102	99.414	512	3	0	13578	12043	14240	12705	0.0	1145	99.80	-3/-3
KL102	KL102	99.594	493	2	0	19077	20555	19739	21217	0.0	1136	99.59	3/2
KL102	KL102	99.793	483	1	0	4551	3103	4552	3104	0.0	1089	99.79	-3/-1
KL102	KL102	98.750	480	6	0	1048	2487	1049	2488	0.0	1063	98.75	1/2
KL102	KL102	99.163	478	4	0	18920	17487	19582	18149	0.0	1046	99.58	-1/-1
KL102	KL102	100.000	458	0	0	14986	16359	15648	17021	0.0	1045	100.00	1/3
KL102	KL102	99.310	435	3	0	1724	3028	1725	3029	0.0	978	99.31	2/3
KL102	KL102	99.772	439	1	0	14940	13624	15602	14286	0.0	939	99.77	-3/-3
